file,onset,duration,,file,onset,duration,
G62939005,12:49.5,0.138,,B62939005,10:04.7,0.688,B
G62939005,12:50.9,0.163,,B62939005,10:05.9,0.8,B
G62939005,12:51.3,0.2,,B62939005,10:07.3,0.838,B
G62939005,12:52.8,0.175,,B62939005,10:08.7,0.775,B
G62939005,12:55.0,0.113,,B62939005,10:10.4,0.688,B
G62939005,12:56.9,0.175,,B62939005,10:17.4,0.5,B
G62939005,12:58.8,0.138,,B62939005,10:18.6,0.512,B
G62939005,13:00.0,0.188,,B62939005,10:19.6,0.625,B
G62939005,13:05.3,0.3,,B62939005,10:20.8,0.662,B
G62939005,13:06.6,0.237,,B62939005,10:21.9,0.738,B
G62939005,13:07.0,0.188,,B62939005,10:23.1,0.625,B
G62939005,13:10.6,0.237,,B62939005,10:25.5,0.525,B
G62939005,13:11.1,0.113,,B62939005,10:29.1,0.512,B
G62939005,13:23.5,0.175,,B62939005,10:37.2,0.55,B
G62939005,13:23.9,0.15,,B62939005,10:37.9,0.375,B
G62939005,13:24.3,0.075,,B62939005,10:40.0,0.575,B
G62939005,13:25.5,0.163,,B62939005,10:41.2,0.588,B
G62939005,13:25.9,0.113,,B62939005,10:42.3,0.65,B
G62939005,13:27.5,0.212,,B62939005,10:43.5,0.65,B
G62939005,13:28.5,0.2,,B62939005,10:44.8,0.662,B
G62939005,13:28.9,0.2,,B62939005,10:51.2,0.35,B
G62939005,13:30.3,0.188,,B62939005,10:55.7,0.55,B
G62939005,13:30.9,0.163,,B62939005,10:56.4,6.925,B
G62939005,13:40.7,0.2,,B62939005,11:03.9,0.738,B
G62939005,13:41.1,0.125,,B62939005,11:15.5,0.975,B
G62939005,13:41.7,0.163,,B62939005,11:23.7,0.563,B
G62939005,13:43.6,0.175,,B62939005,11:28.8,0.563,B
G62939005,13:45.5,0.163,,B62939005,11:31.6,0.45,B
G62939005,13:46.6,0.2,,B62939005,11:42.7,0.762,B
G62939005,13:47.0,0.138,,B62939005,11:44.0,0.775,B
G62939005,13:51.4,0.237,,B62939005,11:45.1,0.813,B
G62939005,13:58.9,0.225,,B62939005,11:46.1,0.95,B
G62939005,13:59.4,0.2,,B62939005,11:47.3,1.75,B
G62939005,14:11.1,0.237,,B62939005,11:49.7,0.662,B
G62939005,14:12.6,0.35,,B62939005,11:56.2,0.575,B
G62939005,14:13.2,0.125,,B62939005,11:57.4,0.613,B
G62939005,14:14.7,0.188,,B62939005,11:58.7,0.613,B
G62939005,14:15.1,0.138,,B62939005,12:04.1,0.938,B
G62939005,14:20.6,0.15,,B62939005,12:05.8,0.512,B
G62939005,14:22.4,0.338,,B62939005,12:07.0,0.55,B
G62939005,14:23.8,0.2,,B62939005,12:25.3,0.563,B
G62939005,14:24.7,0.188,,B62939005,12:26.5,0.313,B
G62939005,14:30.2,0.2,,B62939005,12:27.0,7.275,B
G62939005,14:32.4,0.225,,B62939005,12:34.9,0.563,B
G62939005,14:33.7,0.2,,B62939005,12:38.7,0.487,B
G62939005,14:36.2,0.175,,B62939005,12:51.6,0.512,B
G62939005,14:38.5,0.263,,B62939005,12:57.4,0.375,B
G62939005,14:46.1,0.163,,B62939005,13:02.5,0.563,B
G62939005,14:46.5,0.087,,B62939005,13:08.5,0.838,B
G62939005,14:48.3,0.163,,B62939005,13:13.8,0.487,B
G62939005,14:49.8,0.375,,B62939005,13:14.5,0.938,B
G62939005,14:50.3,0.138,,B62939005,13:15.7,0.912,B
G62939005,14:56.2,0.225,,B62939005,13:16.8,0.938,B
G62939005,15:01.4,0.15,,B62939005,13:18.0,0.838,B
G62939005,15:03.5,0.15,,B62939005,13:19.2,0.688,B
G62939005,15:04.0,0.113,,B62939005,13:20.5,0.637,B
G62939005,15:06.9,0.138,,B62939005,13:32.9,0.487,B
G62939005,15:18.3,0.188,,B62939005,13:34.1,0.637,B
G62939005,15:18.7,0.188,,B62939005,13:35.2,0.613,B
G62939005,15:19.7,0.175,,B62939005,13:36.3,0.613,B
G62939005,15:21.2,0.113,,B62939005,13:37.3,0.662,B
G62939005,15:23.6,0.188,,B62939005,13:38.4,0.7,B
G62939005,15:23.9,0.225,,B62939005,13:39.6,0.65,B
G62939005,15:35.0,0.15,,B62939005,13:44.1,0.4,B
G62939005,15:36.9,0.237,,B62939005,13:45.7,0.5,B
G62939005,15:38.7,0.175,,B62939005,13:49.4,0.537,B
G62939005,15:44.0,0.163,,B62939005,13:51.1,0.537,B
G62939005,15:50.8,0.313,,B62939005,13:52.2,0.525,B
G62939005,15:51.2,0.175,,B62939005,13:53.3,1,B
G62939005,15:52.5,0.212,,B62939005,13:54.6,1.9,B
G62939005,15:55.9,0.338,,B62939005,13:56.9,0.75,B
G62939005,15:57.9,0.15,,B62939005,14:02.0,0.588,B
G62939005,15:58.3,0.125,,B62939005,14:03.1,0.625,B
G62939005,16:06.7,0.163,,B62939005,14:04.3,0.588,B
G62939005,16:08.1,0.237,,B62939005,14:05.4,0.662,B
G62939005,16:11.3,0.163,,B62939005,14:06.5,0.7,B
G62939005,16:15.7,0.225,,B62939005,14:07.7,0.625,B
G62939005,16:16.8,0.225,,B62939005,14:11.7,0.512,B
G62939005,16:24.4,0.2,,B62939005,14:17.4,0.525,B
G62939005,16:26.8,0.2,,B62939005,14:26.1,0.775,B
G62939005,16:29.4,0.175,,B62939005,14:27.3,0.625,B
G62939005,16:32.1,0.15,,B62939005,14:28.5,0.65,B
G62939005,16:32.4,0.125,,B62939005,14:29.6,0.6,B
G62939005,16:40.9,0.113,,B62939005,14:30.8,0.713,B
G62939005,16:50.7,0.175,,B62939005,14:36.4,0.575,B
G62939005,16:51.1,0.188,,B62939005,14:40.1,0.725,B
G62939005,16:58.3,0.25,,B62939005,14:41.2,0.55,B
G62939005,16:58.8,0.188,,B62939005,14:42.3,0.6,B
G62939005,17:04.9,0.25,,B62939005,14:43.4,0.6,B
G62939005,17:05.3,0.138,,B62939005,14:44.5,0.713,B
G62939005,17:09.7,0.15,,B62939005,14:58.1,0.512,B
G62939005,17:17.9,0.113,,B62939005,14:59.4,0.7,B
G62939005,17:24.6,0.237,,B62939005,15:00.6,0.613,B
G62939005,17:26.9,0.175,,B62939005,15:01.8,0.588,B
G62939005,17:28.0,0.25,,B62939005,15:02.9,0.537,B
G62939005,17:30.0,0.338,,B62939005,15:04.2,0.537,B
G62939005,17:39.5,0.225,,B62939005,15:05.2,0.438,B
G62939005,17:39.9,0.212,,B62939005,15:09.1,1.125,B
G62939005,17:45.1,0.15,,B62939005,15:10.6,0.8,B
G62939005,17:47.8,0.212,,B62939005,15:11.7,0.813,B
G62939005,17:50.1,0.1,,B62939005,15:13.0,0.625,B
G62939005,17:51.2,0.138,,B62939005,15:14.2,0.725,B
G62939005,17:51.5,0.237,,B62939005,15:15.3,0.963,B
G62939005,17:53.3,0.163,,B62939005,15:20.1,0.525,B
G62939005,17:53.8,0.1,,B62939005,15:21.3,0.675,B
G62939005,17:55.4,0.1,,B62939005,15:22.5,0.6,B
G62939005,18:02.6,0.412,,B62939005,15:26.5,0.588,B
G62939005,18:03.2,0.15,,B62939005,15:27.8,0.563,B
G62939005,18:06.5,0.212,,B62939005,15:29.2,0.588,B
G62939005,18:06.8,0.163,,B62939005,15:46.0,0.625,B
G62939005,18:08.0,0.212,,B62939005,15:47.3,0.65,B
G62939005,18:09.7,0.113,,B62939005,15:48.5,0.662,B
G62939005,18:11.2,0.212,,B62939005,15:49.7,0.625,B
G62939005,18:14.1,0.163,,B62939005,15:53.1,0.55,B
G62939005,18:15.9,0.225,,B62939005,16:00.9,0.575,B
G62939005,18:20.7,0.163,,B62939005,16:02.1,0.588,B
G62939005,18:29.1,0.163,,B62939005,16:03.2,0.637,B
G62939005,18:29.6,0.138,,B62939005,16:04.3,0.637,B
G62939005,18:32.4,0.175,,B62939005,16:05.5,0.65,B
G62939005,18:36.3,0.15,,B62939005,16:08.6,0.338,B
G62939005,18:36.7,0.212,,B62939005,16:17.2,0.563,B
G62939005,18:37.7,0.188,,B62939005,16:19.0,0.588,B
G62939005,18:38.1,0.225,,B62939005,16:20.3,0.588,B
G62939005,18:40.1,0.15,,B62939005,16:21.6,1.063,B
G62939005,18:42.0,0.175,,B62939005,16:41.0,0.475,B
G62939005,18:42.9,0.225,,B62939005,16:42.1,0.575,B
G62939005,18:47.1,0.2,,B62939005,16:43.2,0.625,B
G62939005,18:47.9,0.163,,B62939005,16:44.4,0.625,B
G62939005,18:48.8,0.175,,B62939005,16:48.1,0.588,B
G62939005,18:56.8,0.188,,B62939005,16:49.5,0.563,B
G62939005,18:57.2,0.2,,B62939005,16:52.0,0.637,B
G62939005,18:58.2,0.113,,B62939005,16:53.3,0.65,B
G62939005,19:06.8,0.212,,B62939005,16:54.5,0.637,B
G62939005,19:08.0,0.438,,B62939005,16:55.6,0.75,B
G62939005,19:11.1,0.175,,B62939005,16:57.0,0.575,B
G62939005,19:11.5,0.138,,B62939005,17:00.7,0.55,B
G62939005,19:11.8,0.1,,B62939005,17:01.9,0.525,B
G62939005,19:20.5,0.225,,B62939005,17:03.1,0.563,B
G62939005,19:22.5,0.2,,B62939005,17:04.3,0.563,B
G62939005,19:26.1,0.138,,B62939005,17:05.4,0.625,B
G62939005,19:26.5,0.087,,B62939005,17:06.8,0.6,B
G62939005,19:26.9,0.1,,B62939005,17:10.8,0.4,B
G62939005,19:29.3,0.212,,B62939005,17:11.9,0.338,B
G62939005,19:29.9,0.15,,B62939005,17:12.9,0.438,B
G62939005,19:31.4,0.2,,B62939005,17:13.9,0.438,B
G62939005,19:31.8,0.2,,B62939005,17:14.5,1,B
G62939005,19:35.0,0.163,,B62939005,17:15.7,0.512,B
G62939005,19:42.5,0.338,,B62939005,17:16.9,0.537,B
G62939005,19:44.5,0.163,,B62939005,17:18.0,0.537,B
G62939005,19:52.7,0.175,,B62939005,17:19.2,0.575,B
G62939005,19:55.7,0.175,,B62939005,17:20.3,0.65,B
