file,onset,duration,,file,onset,duration
G52545004,12:43.6,0.166,,B52545004,19:40.5,0.495
G52545004,12:43.9,0.173,,B52545004,19:41.5,0.721
G52545004,12:44.2,0.151,,B52545004,19:42.5,6.227
G52545004,12:44.6,0.144,,B52545004,19:48.9,0.363
G52545004,12:45.0,0.173,,B52545004,20:08.7,0.426
G52545004,12:48.6,0.216,,B52545004,20:09.3,0.439
G52545004,12:50.3,0.273,,B52545004,20:09.9,0.965
G52545004,12:59.6,0.245,,B52545004,20:11.0,5.62
G52545004,13:00.2,0.252,,B52545004,20:16.7,0.871
G52545004,13:04.7,0.194,,B52545004,20:18.2,0.62
G52545004,13:05.1,0.194,,B52545004,20:43.1,0.532
G52545004,13:08.8,0.216,,B52545004,20:44.2,0.495
G52545004,13:16.7,0.259,,B52545004,20:44.9,6.089
G52545004,13:17.4,0.288,,B52545004,20:51.3,1.015
G52545004,13:20.0,0.209,,B52545004,21:07.2,0.539
G52545004,13:20.5,0.18,,B52545004,21:07.9,5.538
G52545004,13:23.3,0.317,,B52545004,21:13.8,0.84
G52545004,13:25.8,0.194,,B52545004,21:24.1,0.351
G52545004,13:26.4,0.13,,B52545004,21:25.1,0.47
G52545004,13:40.9,0.209,,B52545004,21:26.1,0.551
G52545004,13:41.5,0.223,,B52545004,21:27.2,0.532
G52545004,13:45.5,0.23,,B52545004,21:28.3,0.558
G52545004,13:49.0,0.381,,B52545004,21:29.5,0.62
G52545004,13:50.6,0.187,,B52545004,21:32.8,0.589
G52545004,13:51.3,0.158,,B52545004,21:33.6,0.908
G52545004,13:52.6,0.216,,B52545004,21:34.7,6.008
G52545004,13:53.1,0.144,,B52545004,21:41.1,0.695
G52545004,13:57.8,0.259,,B52545004,21:42.3,0.633
G52545004,14:06.4,0.094,,B52545004,21:43.6,0.595
G52545004,14:08.7,0.237,,B52545004,21:51.5,0.439
G52545004,14:11.0,0.18,,B52545004,21:52.6,0.489
G52545004,14:11.6,0.23,,B52545004,21:53.8,0.445
G52545004,14:12.9,0.201,,B52545004,21:54.8,0.558
